# of blossoms contracted in the original algorithm

graph generation probability		# blossoms			matching size (/5000)

						1			718 				5000
						1			3782 				5000
						1			770 				5000
						1			1122 				5000
					
					  0.1 			1667 				5000
					  0.1 			3512 				5000
					  0.1 			4625 				5000
					  0.1 			3988 				5000
					
					 0.01 			2488				5000
					 0.01 			8634				5000
					 0.01 			5811 				5000
					 0.01 			2719 				5000

					0.001 			8047		        4999
					0.001 			3829 				4999
					0.001 			4294 				5000
					0.001 			7359 				4999

				   0.0005 			8323				4967
				   0.0005 			7670				4964
				   0.0005 			5996				4967
				   0.0005 			7504				4967

				   0.0004 = 10,000 log(10,000) / 10,000^2 = the probability at which the expected number of edges is sufficient for connectedness

				   0.0004  			6774 				4892
				   0.0004 			8480				4884
				   0.0004 			5349				4890
				   0.0004 			8943				4891

				   0.0003 			1679 				4646
				   0.0003 			756					4621 
				   0.0003 			1611				4638
				   0.0003			1025				4619

				   0.0002 			1 					3930
				   0.0002 			4 					3920
				   0.0002 			3 					3954
				   0.0002 			1 					3930

				   0.0001 			1  					2744
				   0.0001			0 					2747
				   0.0001 			0 					2706
				   0.0001 			0  					2717

				  0.00001 			0 					439
				  0.00001 			0 					465
				  0.00001  			0 					439
				  0.00001 			0 					435

